CODGEO_STR;VAC;TOTAL;taux_vacance
01001;14.95340711462448;349.62691433892957;4.276961098060258
01002;14.255742611298169;169.01004628566704;8.434849243933455
01004;771.2731945156315;7725.6634376360425;9.983261641431685
01005;36.72351421188642;823.8237448973792;4.457690669799877
01006;7.08333333333334;70.05409356725147;10.111234008806903
01007;52.36613469788252;1291.7972013964727;4.053742695933472
01008;26.81591160220964;364.95671335928006;7.347696485805106
01009;22.57876532858179;195.94910274768066;11.52277046027405
01010;52.5711101762389;578.6733955456251;9.084763630211503
01011;14.207465054372639;174.8137036517154;8.12720327845604
01012;16.5268570883146;215.8242169011125;7.657554525443716
01013;12.49999999999998;123.56521739130433;10.1161154116819
01014;96.82455083354778;1447.1465949817168;6.6907216704449395
01015;44.73586999734954;424.522662398448;10.537922697601806
01016;16.1409691629955;217.06345126018357;7.436060317518906
01017;60.915267237378764;311.43241576936384;19.55970674629147
01019;1.0;28.0;3.571428571428571
01021;32.31783021650807;619.3540728969947;5.217989455586074
01022;114.05754915071394;732.3823397906114;15.57349801516556
01023;5.0;46.44736842105261;10.764872521246465
01024;70.6686598832774;1379.6469902242823;5.122227670122279
01025;104.28612504705833;1744.5963207640045;5.977665079643679
01026;25.36976752414995;467.70855521137594;5.424268434150056
01027;44.502513212769394;801.144057857354;5.5548702853505025
01028;15.0;263.1633286677539;5.699882303486758
01029;36.227513227513256;297.0967386711747;12.193844129541151
01030;69.32434393001962;458.176019527809;15.130504647856627
01031;158.18268312364845;1838.1303786561832;8.605629119697827
01032;54.35801646504181;1325.2713750253747;4.1016517438929085
01033;1106.964802395254;8436.820825236251;13.120638986241081
01034;648.872650718253;5049.912058758739;12.849187137681465
01035;17.0;229.87997588715336;7.395163469281549
01036;27.644543558729765;964.5726635868881;2.865988701766641
01037;20.06927982366129;183.52326933595626;10.935550514263467
01038;15.709551656920093;344.4507811887316;4.560753673632259
01040;21.188340807174868;219.79058582986622;9.640240380257312
01041;50.764349563001964;398.8058831397024;12.729087435557995
01042;7.486331849968205;123.01188204497335;6.085860752241145
01043;107.7719833564496;2096.509625276207;5.1405432179807455
01044;56.94604682561612;349.97660615777266;16.27138666518308
01045;5.0847457627119;120.91931978415484;4.205073078304069
01046;21.041653764025764;367.13047936370725;5.731382967846783
01047;15.294117647058751;486.51881964392766;3.1435819190411127
01049;59.56190476190474;1354.737838937701;4.396563161519825
01050;6.0359281437126;154.95496614542245;3.895278927716321
01051;11.50925925925927;87.16999280834234;13.203235297454116
01052;5.039473684210522;144.20437600600073;3.494674588793905
01053;2358.9455028356733;23645.216860109525;9.976417288924567
01054;22.840830871909933;615.5380091599668;3.7107100669674535
01056;23.058229374330697;227.76857694704893;10.123534020099365
01057;12.05020920502092;233.81455424591516;5.153746414069278
01058;43.3771929824561;408.65514082185285;10.614620654280658
01060;21.45531235181074;369.45830745259684;5.80723505711495
01061;22.29615384615388;518.6861981749056;4.2985824424492245
01062;30.864334525946806;422.58696005501855;7.303664675769558
